id,nom_agence,email,logo_url,contact,ville,pays,partner_currency,offres_count,nom_complet
96,City Experiences by Hornblower,,,,,United States of America,USD,41,City Experiences by Hornblower
97,Evan Evans Tours,,,,,United Kingdom,GBP,41,Evan Evans Tours
98,Get Prague Guide Michal Vesely,,,,,Czech Republic,EUR,41,Get Prague Guide Michal Vesely
99,TravcoEmirates API,,,,,United Arab Emirates,AED,41,TravcoEmirates API
100,Eco Viagens,,,,,Portugal,EUR,40,Eco Viagens
101,ResiRest,,,,,Argentina,EUR,40,ResiRest
102,Babylon Tours Inc,,,,,France,EUR,39,Babylon Tours Inc
103,Gray Line I Love Rome,,,,,Italy,EUR,39,Gray Line I Love Rome
104,Tangol Tours SRL,,,,,Argentina,USD,39,Tangol Tours SRL
105,ADVENTURE WORLD TOURS,,,,,Germany,EUR,38,ADVENTURE WORLD TOURS
106,ASKOS SRL,,,,,Italy,EUR,38,ASKOS SRL
107,BUENDÍA TOURS IBÉRICA S.L.,,,,,Belgium,EUR,38,BUENDÍA TOURS IBÉRICA S.L.
108,IAsia Thailand,,,,,Thailand,THB,38,IAsia Thailand
109,tours sans soucis,,,,,Tunisia,EUR,38,tours sans soucis
110,TUNISIAN TRAVEL SERVICE,,,,,Tunisia,EUR,38,TUNISIAN TRAVEL SERVICE
111,GRAY LINE OF ORLANDO,,,,,United States of America,USD,37,GRAY LINE OF ORLANDO
112,Big Bus Tours,,,,,Australia,EUR,36,Big Bus Tours
113,E-TRAVEL.SK,,,,,Austria,EUR,36,E-TRAVEL.SK
114,InOut Barcelona tours,,,,,Spain,EUR,36,InOut Barcelona tours
115,Keytours SA,,,,,Switzerland,EUR,36,Keytours SA
116,Sales,sales@caftours.com,,,,Italy,EUR,36,sales@caftours.com
117,All Poland Sp. z o.o.,,,,,Poland,EUR,35,All Poland Sp. z o.o.
118,Time Travel Tours,,,,,Sweden,EUR,35,Time Travel Tours
119,Travelvago,,,,,Malaysia,USD,35,Travelvago
120,"Asian Trails Co., Ltd",,,,,Cambodia,USD,34,"Asian Trails Co., Ltd"
121,Mundo Marino,,,,,Spain,EUR,34,Mundo Marino
122,Walks LLC,,,,,Italy,USD,34,Walks LLC
123,Best of Switzerland Tours AG,,,,,Switzerland,CHF,33,Best of Switzerland Tours AG
124,YesTrips,,,,,China,USD,33,YesTrips
125,byFood,,,,,Japan,JPY,32,byFood
126,Highland Explorer,,,,,United Kingdom,GBP,32,Highland Explorer
127,LVP TRAVEL,,,,,Vietnam,EUR,32,LVP TRAVEL
128,Meeting The French,,,,,France,EUR,32,Meeting The French
129,Denksport GmbH,,,,,Austria,EUR,31,Denksport GmbH
130,NORDIC UNIQUE TRAVELS OY,,,,,Finland,EUR,31,NORDIC UNIQUE TRAVELS OY
131,Priohub,,,,,United Arab Emirates,EUR,31,Priohub
132,Tilila Travel,,,,,Morocco,EUR,31,Tilila Travel
133,Arcadia Tour Operator,,,,,Italy,EUR,30,Arcadia Tour Operator
134,Brit Movie Tours,,,,,United Kingdom,GBP,30,Brit Movie Tours
135,Ciao Florence Tours & Travels Srl,,,,,Italy,EUR,30,Ciao Florence Tours & Travels Srl
136,GLOBAL HOLIDAY,,,,,Indonesia,USD,30,GLOBAL HOLIDAY
137,Reykjavík Excursions,,,,,Iceland,EUR,30,Reykjavík Excursions
138,Travel Curious Limited,,,,,Germany,EUR,30,Travel Curious Limited
139,Walking Tours in the UK,,,,,United Kingdom,GBP,30,Walking Tours in the UK
140,Dimotrip,,,,,Vietnam,USD,29,Dimotrip
141,Grand Canyon Helicopters,,,,,United States of America,USD,29,Grand Canyon Helicopters
142,Park Viaggi,,,,,Italy,EUR,29,Park Viaggi
143,Venice Tours,,,,,Italy,EUR,29,Venice Tours
144,WORLD EXPERIENCE,,,,,Portugal,EUR,29,WORLD EXPERIENCE
145,Encuentro T,,,,,Mexico,USD,28,Encuentro T
146,ExperienceFirst Tours,,,,,France,USD,28,ExperienceFirst Tours
147,Jumbo Tours Málaga,,,,,Spain,EUR,28,Jumbo Tours Málaga
148,Vidi Guides,,,,,Germany,EUR,28,Vidi Guides
149,VIP-Sliven Ltd.,,,,,Bulgaria,EUR,28,VIP-Sliven Ltd.
150,African Eagle Day Tours,,,,,South Africa,ZAR,27,African Eagle Day Tours
151,Départ Travel Services,,,,,Tunisia,EUR,27,Départ Travel Services
152,GRAY LINE CZECH REPUBLIC SRO,,,,,Czech Republic,EUR,27,GRAY LINE CZECH REPUBLIC SRO
153,Wise and Precious Travel (Thailand),,,,,Thailand,THB,27,Wise and Precious Travel (Thailand)
154,At the Top LLC - Burj Khalifa,,,,,Turkey,EUR,26,At the Top LLC - Burj Khalifa
155,Bustravel Iceland,,,,,Iceland,EUR,26,Bustravel Iceland
156,CityPASS®,,,,,United States of America,USD,26,CityPASS®
157,CityUnscripted,,,,,Canada,GBP,26,CityUnscripted
158,Greeking.me,,,,,Greece,EUR,26,Greeking.me
159,Key Tours S.A,,,,,Greece,EUR,26,Key Tours S.A
160,Ranch Tamri,,,,,Morocco,EUR,26,Ranch Tamri
161,Travco Oman LLC,,,,,Oman,USD,26,Travco Oman LLC
162,UnlimitedBiking,,,,,United States of America,USD,26,UnlimitedBiking
163,Vox City International,,,,,Australia,GBP,26,Vox City International
164,ARCTIC CIRCLE SNOWMOBILE PARK OY,,,,,Finland,EUR,25,ARCTIC CIRCLE SNOWMOBILE PARK OY
165,OURWAY Tours,,,,,Denmark,DKK,25,OURWAY Tours
166,TUI LAKES & MOUNTAINS,,,,,Italy,EUR,25,TUI LAKES & MOUNTAINS
167,Arctic Adventures,,,,,Iceland,USD,24,Arctic Adventures
168,Doooing,,,,,Czech Republic,EUR,24,Doooing
169,Escape the city,,,,,France,EUR,24,Escape the city
170,Fever Labs Inc,,,,,Australia,EUR,24,Fever Labs Inc
171,Ingresso,,,,,Australia,GBP,24,Ingresso
172,Plan Tours & Gray Line Turkey,,,,,Turkey,EUR,24,Plan Tours & Gray Line Turkey
173,Tour Azur,,,,,France,,24,Tour Azur
174,Tuyi Group Japan Co.，Ltd.,,,,,Japan,JPY,24,Tuyi Group Japan Co.，Ltd.
175,Martulli Viaggi,,,,,Italy,EUR,23,Martulli Viaggi
176,MyProGuide,,,,,Taiwan,TWD,23,MyProGuide
177,RAW TOURISM,,,,,Turkey,EUR,23,RAW TOURISM
178,Sandie Gorman,sandie.gorman@disney.com,,,,United States of America,EUR,23,sandie.gorman@disney.com
179,Stattreisen Hamburg e.V.,,,,,Germany,GBP,23,Stattreisen Hamburg e.V.
180,United Parks & Resorts,,,,,United States of America,EUR,23,United Parks & Resorts
181,ACCORD ITALY SMART TOURS & EXPERIENCES,,,,,Italy,EUR,22,ACCORD ITALY SMART TOURS & EXPERIENCES
182,AFAQ Travel & Tourism,,,,,Oman,USD,22,AFAQ Travel & Tourism
183,Blue Boat Company,,,,,Netherlands,EUR,22,Blue Boat Company
184,Bravo Indochina Tours,,,,,Cambodia,EUR,22,Bravo Indochina Tours
185,Crete Private & Luxury Tours by Snami Travel,,,,,Greece,EUR,22,Crete Private & Luxury Tours by Snami Travel
186,Discover Cracow,,,,,Poland,EUR,22,Discover Cracow
187,Eating London Food Tours,,,,,Czech Republic,EUR,22,Eating London Food Tours
188,Interliv Travel,,,,,Mexico,MXN,22,Interliv Travel
189,Manjing Travel,,,,,China,CNY,22,Manjing Travel
190,"NAIYAI 654 SERVICE CO., LTD.",,,,,Thailand,THB,22,"NAIYAI 654 SERVICE CO., LTD."
191,Opatrip.comU.S. LLC,,,,,Germany,EUR,22,Opatrip.comU.S. LLC
192,Ophorus Excursions & Tours in France,,,,,France,EUR,22,Ophorus Excursions & Tours in France
193,Paris' Trip,,,,,France,EUR,22,Paris' Trip
194,Provence Reservation,,,,,France,EUR,22,Provence Reservation
195,TU Italia Srl,,,,,Italy,EUR,22,TU Italia Srl
196,Wikibeijing,,,,,China,USD,22,Wikibeijing
197,Worldtours - Daily Tours - Excursions - Transfers,,,,,Italy,EUR,22,Worldtours - Daily Tours - Excursions - Transfers
198,Amsterdam Guías & Tours BV,,,,,Netherlands,EUR,21,Amsterdam Guías & Tours BV
199,BORDOVINO WINE TOURS,,,,,France,EUR,21,BORDOVINO WINE TOURS
200,G.& E.MICHALAKIS SA -GEM TRAVEL,,,,,Greece,EUR,21,G.& E.MICHALAKIS SA -GEM TRAVEL
201,Loving Rome,,,,,Italy,EUR,21,Loving Rome
202,Pugliamare srl,,,,,Italy,EUR,21,Pugliamare srl
203,Visit Houston,,,,,Spain,USD,21,Visit Houston
204,VN Lotus Travel,,,,,Vietnam,USD,21,VN Lotus Travel
205,Arigato Travel,,,,,Japan,JPY,20,Arigato Travel
206,Bali Trekking Tour,,,,,Indonesia,IDR,20,Bali Trekking Tour
207,Discovering Spain,,,,,Spain,EUR,20,Discovering Spain
208,Orient Tours LLC,,,,,Oman,AED,20,Orient Tours LLC
209,Pollmans Tours & Safaris Ltd,,,,,Kenya,USD,20,Pollmans Tours & Safaris Ltd
210,See Your City,,,,,United Kingdom,GBP,20,See Your City
211,TOURS FOR TODAY,,,,,Italy,EUR,20,TOURS FOR TODAY
212,VIVU JOURNEYS LAOS,,,,,Laos,USD,20,VIVU JOURNEYS LAOS
213,Ways tours,,,,,Italy,EUR,20,Ways tours
214,Bici Bike Vintage,,,,,Spain,EUR,19,Bici Bike Vintage
215,Creole Travel Services,,,,,Seychelles,EUR,19,Creole Travel Services
216,Croisieres aml,,,,,Canada,CAD,19,Croisieres aml
217,"Guangzhou Zhiwooyou Travel Agency Co., Ltd.",,,,,China,CNY,19,"Guangzhou Zhiwooyou Travel Agency Co., Ltd."
218,Insight Cities,,,,,Austria,EUR,19,Insight Cities
219,Jewel Tours Japan,,,,,Japan,EUR,19,Jewel Tours Japan
220,Le Passage to India Tours and Travels Private Limited,,,,,India,USD,19,Le Passage to India Tours and Travels Private Limited
221,Open Asia Travel Company Limited,,,,,Vietnam,USD,19,Open Asia Travel Company Limited
222,Segway Tour Krakow,,,,,Poland,PLN,19,Segway Tour Krakow
223,Tourmania,,,,,Turkey,EUR,19,Tourmania
224,TYLENE TRANSPORT TOURISME,,,,,France,EUR,19,TYLENE TRANSPORT TOURISME
225,Broadway Inbound,,,,,United States of America,USD,18,Broadway Inbound
226,Cultival,,,,,France,EUR,18,Cultival
227,Tourist Israel,,,,,Israel,USD,18,Tourist Israel
228,Underground Donut Tour,,,,,Canada,USD,18,Underground Donut Tour
229,WORLD 2 MEET SLU,,,,,Spain,EUR,18,WORLD 2 MEET SLU
230,abc Travel,,,,,Portugal,EUR,17,abc Travel
231,Amigo Tours Japan,,,,,Japan,USD,17,Amigo Tours Japan
232,AROUND VESUVIO,,,,,Italy,EUR,17,AROUND VESUVIO
233,De Palm Corporation VBA,,,,,Aruba,USD,17,De Palm Corporation VBA
234,Dresden Information GmbH,,,,,Germany,EUR,17,Dresden Information GmbH
235,Exotic Asia Holidays Travel & Tours Sdn Bhd,,,,,Malaysia,USD,17,Exotic Asia Holidays Travel & Tours Sdn Bhd
236,HIDDEN EXPERIENCES,,,,,Italy,EUR,17,HIDDEN EXPERIENCES
237,iFLY Indoor Skydiving,,,,,United States of America,USD,17,iFLY Indoor Skydiving
238,Lido Tours,,,,,Portugal,EUR,17,Lido Tours
239,Merlin Entertainment,,,,,Austria,EUR,17,Merlin Entertainment
240,Outdoor,,,,,Switzerland,CHF,17,Outdoor
241,Pennicott Wilderness Journeys,,,,,Australia,AUD,17,Pennicott Wilderness Journeys
242,Robert Arrigo & Sons Ltd.,,,,,Malta,EUR,17,Robert Arrigo & Sons Ltd.
243,Solve A Mystery,,,,,Denmark,EUR,17,Solve A Mystery
244,Timberbush Tours,,,,,United Kingdom,GBP,17,Timberbush Tours
245,tourism management curacao,,,,,Curaçao,EUR,17,tourism management curacao
246,Vienna Sightseeing Tours,,,,,Austria,EUR,17,Vienna Sightseeing Tours
247,Amico tours,,,,,Croatia,EUR,16,Amico tours
248,Bali Agung Tours,,,,,Indonesia,USD,16,Bali Agung Tours
249,Easy Transfers,,,,,Morocco,EUR,16,Easy Transfers
250,Luxury Business Transfers,,,,,Netherlands,EUR,16,Luxury Business Transfers
251,Merlin Entertainments Midway Attractions,,,,,Canada,USD,16,Merlin Entertainments Midway Attractions
252,National Park Express,,,,,United States of America,USD,16,National Park Express
253,Premium Tours,,,,,United Kingdom,GBP,16,Premium Tours
254,Roso Group LLC,,,,,Austria,EUR,16,Roso Group LLC
255,Sailing Experience Barcelona.,,,,,Spain,EUR,16,Sailing Experience Barcelona.
256,Skydive Australia NSW,,,,,Australia,AUD,16,Skydive Australia NSW
257,Smartour Riviera,,,,,France,EUR,16,Smartour Riviera
258,Thailand Insight Travel,,,,,Thailand,THB,16,Thailand Insight Travel
259,Visit Düsseldorf,,,,,Germany,EUR,16,Visit Düsseldorf
260,WanderSiam,,,,,Thailand,THB,16,WanderSiam
261,Acampora Travel,,,,,Italy,EUR,15,Acampora Travel
262,BILEDO Sp. z o.o,,,,,Poland,PLN,15,BILEDO Sp. z o.o
263,Bindlestiff Tours,,,,,United States of America,USD,15,Bindlestiff Tours
264,BLUE FOX TRAVEL,,,,,France,EUR,15,BLUE FOX TRAVEL
265,"CITS, Head Office",,,,,China,CNY,15,"CITS, Head Office"
266,Córdoba a Pie,,,,,Spain,EUR,15,Córdoba a Pie
267,Explore Catalunya,,,,,Spain,EUR,15,Explore Catalunya
268,Gray Line San Francisco,,,,,United States of America,USD,15,Gray Line San Francisco
269,Italy on a Budget tours,,,,,Italy,EUR,15,Italy on a Budget tours
270,Monuments Nationaux,,,,,France,EUR,15,Monuments Nationaux
271,Rios Travel,,,,,Spain,EUR,15,Rios Travel
272,Shuttlesfrombudapest,,,,,Hungary,HUF,15,Shuttlesfrombudapest
273,Silverline Cruises,,,,,Hungary,EUR,15,Silverline Cruises
274,Skyline Sightseeing SanFrancisco,,,,,United States of America,USD,15,Skyline Sightseeing SanFrancisco
275,STOCKHOLM ICEGUIDE AB/ STOCKHOLM ADVENTU,,,,,Sweden,EUR,15,STOCKHOLM ICEGUIDE AB/ STOCKHOLM ADVENTU
276,Tour Company,,,,,Belgium,EUR,15,Tour Company
277,TouringBee Limited,,,,,Austria,EUR,15,TouringBee Limited
278,Tournesia Holidays,,,,,Indonesia,USD,15,Tournesia Holidays
279,Tribe Pte Ltd,,,,,Singapore,SGD,15,Tribe Pte Ltd
280,Wander Italy Srl,,,,,Italy,EUR,15,Wander Italy Srl
281,World of Wine,,,,,Portugal,EUR,15,World of Wine
282,Alternative Athens,,,,,Greece,EUR,14,Alternative Athens
283,ATC African Travel Concept,,,,,South Africa,ZAR,14,ATC African Travel Concept
284,Grayline Munich,,,,,Germany,EUR,14,Grayline Munich
285,Green Line Tours S.P.A.,,,,,Italy,EUR,14,Green Line Tours S.P.A.
286,LIVE FOLKS,,,,,Panama,USD,14,LIVE FOLKS
287,MTS SUMMERTIMES TRAVEL,,,,,Cyprus,EUR,14,MTS SUMMERTIMES TRAVEL
288,Normandy Melody,,,,,France,EUR,14,Normandy Melody
289,NOUVELLES FRONTIERES SENEGAL,,,,,Senegal,EUR,14,NOUVELLES FRONTIERES SENEGAL
290,OPEN TOP BUS HELLAS,,,,,Greece,EUR,14,OPEN TOP BUS HELLAS
291,PARQUES REUNIDOS,,,,,Spain,EUR,14,PARQUES REUNIDOS
292,Radius Tours,,,,,Germany,EUR,14,Radius Tours
293,Rayna Tours LLC,,,,,United Arab Emirates,AED,14,Rayna Tours LLC
294,SANWA Travel,,,,,Japan,JPY,14,SANWA Travel
295,Stern und Kreisschiffahrt GmbH,,,,,Germany,EUR,14,Stern und Kreisschiffahrt GmbH
296,TURISME DE BARCELONA,,,,,Spain,EUR,14,TURISME DE BARCELONA
297,Uber Boat by Thames Clippers,,,,,United Kingdom,EUR,14,Uber Boat by Thames Clippers
298,Utess Voyages,,,,,Morocco,EUR,14,Utess Voyages
299,V Theater Group LLC,,,,,United States of America,USD,14,V Theater Group LLC
300,Wien mal anders,,,,,Austria,EUR,14,Wien mal anders
301,Wonderlapland,,,,,Finland,EUR,14,Wonderlapland
302,360 Adventures Tourism,,,,,United Arab Emirates,AED,13,360 Adventures Tourism
303,Anderson  Tours Ltd,,,,,United Kingdom,GBP,13,Anderson  Tours Ltd
304,C-WAY SRL,,,,,Italy,EUR,13,C-WAY SRL
305,Chichen Itza Sightseeing,,,,,Mexico,USD,13,Chichen Itza Sightseeing
306,Consorzio Vidali Group,,,,,Italy,EUR,13,Consorzio Vidali Group
307,Do Eat Better Spain,,,,,Portugal,EUR,13,Do Eat Better Spain
308,Eco Tuk Tuk - Spain,,,,,Spain,EUR,13,Eco Tuk Tuk - Spain
309,"F.Activities - Azores Adventure, Lda",,,,,Portugal,EUR,13,"F.Activities - Azores Adventure, Lda"
310,Garda E-motion,,,,,Italy,EUR,13,Garda E-motion
311,GRAND CANYON SCENIC AIRLINES,,,,,United States of America,USD,13,GRAND CANYON SCENIC AIRLINES
312,Inalb tpp shpk,,,,,Albania,EUR,13,Inalb tpp shpk
313,INFINITE ISLAND TOURS NV,,,,,"Bonaire, Sint Eustatius and Saba",EUR,13,INFINITE ISLAND TOURS NV
314,INTERCRUISES SHORESIDE AND PORT SERV.INC,,,,,United States of America,EUR,13,INTERCRUISES SHORESIDE AND PORT SERV.INC
315,JRTGroup,,,,,Japan,JPY,13,JRTGroup
316,Rustic Asia Travel,,,,,Vietnam,USD,13,Rustic Asia Travel
317,SeaLink South Australia,,,,,Australia,AUD,13,SeaLink South Australia
318,Staatliche Museen zu Berlin,,,,,Germany,EUR,13,Staatliche Museen zu Berlin
319,Szabo,szabo@cityrama.hu,,,,Hungary,EUR,13,szabo@cityrama.hu
320,Tixalia Worldwide SL,,,,,Spain,EUR,13,Tixalia Worldwide SL
321,Touristcheck - ACdPC,,,,,Spain,EUR,13,Touristcheck - ACdPC
322,Travco Travel Company of Egypt,,,,,Egypt,EUR,13,Travco Travel Company of Egypt
323,Troll Expeditions,,,,,Iceland,EUR,13,Troll Expeditions
324,TUI España,,,,,Spain,EUR,13,TUI España
325,Universal Studios Hollywood,,,,,United States of America,USD,13,Universal Studios Hollywood
326,Vision Inc.,,,,,Japan,JPY,13,Vision Inc.
327,Walk this Way,,,,,Belgium,EUR,13,Walk this Way
328,A Special Memory Wedding Chapel,,,,,United States of America,USD,12,A Special Memory Wedding Chapel
329,Ape Romantic Tour,,,,,Italy,EUR,12,Ape Romantic Tour
330,Arbaspàa srl,,,,,Italy,EUR,12,Arbaspàa srl
331,Arctic GM Experiences OY,,,,,Finland,EUR,12,Arctic GM Experiences OY
332,"Arumachi, Inc.",,,,,Japan,JPY,12,"Arumachi, Inc."
333,CV WERDI ARTHA JAYA,,,,,Indonesia,IDR,12,CV WERDI ARTHA JAYA
334,ECOEXPERIENCIAS MÉXICO TOUR OPERATORS,,,,,Mexico,USD,12,ECOEXPERIENCIAS MÉXICO TOUR OPERATORS
335,ExperienceKart,,,,,New Zealand,NZD,12,ExperienceKart
336,FINN TOURS SOUTH LIMITED,,,,,Ireland,EUR,12,FINN TOURS SOUTH LIMITED
337,"Futurismo - Empresa de Turismo Náutico, Lda",,,,,Portugal,EUR,12,"Futurismo - Empresa de Turismo Náutico, Lda"
338,GIdOman,,,,,Oman,EUR,12,GIdOman
339,Globus Tours,,,,,Austria,EUR,12,Globus Tours
340,Gourmetaly di Cassoni Daniela,,,,,Italy,EUR,12,Gourmetaly di Cassoni Daniela
341,Grand Tour Experience,,,,,Italy,EUR,12,Grand Tour Experience
342,i Venture Card,,,,,Australia,GBP,12,i Venture Card
343,LIFE AND SEA S.L,,,,,Spain,EUR,12,LIFE AND SEA S.L
344,Living Tuk Tuk,,,,,Portugal,EUR,12,Living Tuk Tuk
345,Master Bali Tour,,,,,Indonesia,USD,12,Master Bali Tour
